"created_utc","gross","fee","net"
"2020-05-31 00:27:35","12.95","0.68","12.27"
"2020-05-31 00:55:24","12.95","0.68","12.27"
"2020-05-31 00:56:44","12.00","0.65","11.35"
"2020-05-31 01:08:01","12.95","0.68","12.27"
"2020-05-31 01:31:40","12.95","0.68","12.27"
"2020-05-31 01:51:34","19.95","0.88","19.07"
"2020-05-31 02:31:46","19.95","0.88","19.07"
"2020-05-31 04:05:03","12.95","0.48","12.47"
"2020-05-31 05:02:06","12.95","0.68","12.27"
"2020-05-31 08:11:46","12.95","0.68","12.27"
"2020-05-31 09:10:08","14.79","0.73","14.06"
"2020-05-31 12:19:25","12.95","0.48","12.47"
"2020-05-31 12:26:16","12.95","0.68","12.27"
"2020-05-31 14:32:17","12.95","0.68","12.27"
"2020-05-31 15:29:21","14.79","0.51","14.28"
"2020-05-31 15:51:01","12.95","0.68","12.27"
"2020-05-31 17:04:46","14.79","0.73","14.06"
"2020-05-31 21:05:50","12.95","0.68","12.27"
"2020-05-31 21:40:19","-14.79","0.00","-14.79"
